perfil,fonte,dia_de,dia_para,jaccard_canais
P1,HOME,1,2,0.125
P1,HOME,2,3,0.13333333333333333
P1,HOME,3,4,0.5454545454545454
P1,HOME,4,5,0.125
P1,NEXT,1,2,0.15384615384615385
P1,NEXT,2,3,0.0
P1,NEXT,3,4,0.5
P1,NEXT,4,5,0.36363636363636365
P2,HOME,1,2,0.058823529411764705
P2,HOME,2,3,0.0
P2,HOME,3,4,0.125
P2,HOME,4,5,0.05555555555555555
P2,NEXT,1,2,0.13333333333333333
P2,NEXT,2,3,0.15384615384615385
P2,NEXT,3,4,0.0
P2,NEXT,4,5,0.07692307692307693
P3,HOME,1,2,0.0
P3,HOME,2,3,0.05263157894736842
P3,HOME,3,4,0.0
P3,HOME,4,5,0.0
P3,NEXT,1,2,0.0
P3,NEXT,2,3,0.0
P3,NEXT,3,4,0.2
P3,NEXT,4,5,0.14285714285714285
P4,HOME,1,2,0.05263157894736842
P4,HOME,2,3,0.2
P4,HOME,3,4,0.0625
P4,HOME,4,5,0.08333333333333333
P4,NEXT,1,2,0.13333333333333333
P4,NEXT,2,3,0.0
P4,NEXT,3,4,0.05555555555555555
