perfil,dia,fonte,antes_n,antes_diversidade_canais,antes_hhi_canais,antes_repeticao_canal,antes_diversidade_temas,antes_hhi_temas,depois_n,depois_diversidade_canais,depois_hhi_canais,depois_repeticao_canal,depois_diversidade_temas,depois_hhi_temas
P1,1,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P1,2,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P1,3,HOME,10,0.8,0.16000000000000003,0.2,0.1,1.0,10,0.8,0.16000000000000003,0.2,0.1,1.0
P1,4,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P1,5,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P1,1,NEXT,10,0.8,0.16000000000000003,0.2,0.1,1.0,10,0.8,0.16000000000000003,0.2,0.1,1.0
P1,2,NEXT,10,0.7,0.18000000000000005,0.3,0.1,1.0,10,0.7,0.18000000000000005,0.3,0.1,1.0
P1,3,NEXT,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P1,4,NEXT,10,0.8,0.16000000000000003,0.2,0.1,1.0,10,0.8,0.16000000000000003,0.2,0.1,1.0
P1,5,NEXT,10,0.7,0.16000000000000006,0.3,0.1,1.0,10,0.7,0.16000000000000006,0.3,0.1,1.0
P2,1,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P2,2,HOME,10,0.8,0.14,0.2,0.1,1.0,10,0.8,0.14,0.2,0.1,1.0
P2,3,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P2,4,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P2,5,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P2,1,NEXT,10,0.8,0.14,0.2,0.1,1.0,10,0.8,0.14,0.2,0.1,1.0
P2,2,NEXT,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P2,3,NEXT,10,0.6,0.20000000000000004,0.4,0.1,1.0,10,0.6,0.20000000000000004,0.4,0.1,1.0
P2,4,NEXT,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P2,5,NEXT,10,0.5,0.32000000000000006,0.5,0.1,1.0,10,0.5,0.32000000000000006,0.5,0.1,1.0
P3,1,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,2,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,3,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,4,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,5,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,1,NEXT,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,2,NEXT,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,3,NEXT,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P3,4,NEXT,10,0.8,0.16000000000000003,0.2,0.1,1.0,10,0.8,0.16000000000000003,0.2,0.1,1.0
P3,5,NEXT,10,0.8,0.16000000000000003,0.2,0.1,1.0,10,0.8,0.16000000000000003,0.2,0.1,1.0
P4,1,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P4,2,HOME,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
P4,3,HOME,10,0.8,0.14,0.2,0.1,1.0,10,0.8,0.14,0.2,0.1,1.0
P4,4,HOME,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P4,5,HOME,20,0.85,0.06500000000000002,0.15,0.05,1.0,20,0.85,0.06500000000000002,0.15,0.05,1.0
P4,1,NEXT,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P4,2,NEXT,10,0.8,0.14,0.2,0.1,1.0,10,0.8,0.14,0.2,0.1,1.0
P4,3,NEXT,10,0.9,0.12000000000000002,0.1,0.1,1.0,10,0.9,0.12000000000000002,0.1,0.1,1.0
P4,4,NEXT,10,1.0,0.10000000000000003,0.0,0.1,1.0,10,1.0,0.10000000000000003,0.0,0.1,1.0
