perfil,dia,fonte,antes_wHHI_canais,depois_wHHI_canais,antes_top5_canais_unicos,depois_top5_canais_unicos
P1,1,HOME,0.1317404950771095,0.1308294391829879,5,5
P1,2,HOME,0.13057525922779717,0.13018886094992993,5,5
P1,3,HOME,0.19334388946741185,0.1864530531121648,5,5
P1,4,HOME,0.1316876643594264,0.1316876643594264,5,5
P1,5,HOME,0.1445002826407325,0.13852299611221086,4,5
P1,1,NEXT,0.19389748430554504,0.1864530531121648,5,5
P1,2,NEXT,0.2180332244937327,0.20173429338446414,3,5
P1,3,NEXT,0.12085391985127439,0.12085391985127439,5,5
P1,4,NEXT,0.2295433458416821,0.1864530531121648,4,5
P1,5,NEXT,0.18245507499364041,0.17942370374943975,5,5
P2,1,HOME,0.12085391985127439,0.12085391985127439,5,5
P2,2,HOME,0.15799366577278606,0.15310500517699502,4,5
P2,3,HOME,0.1316876643594264,0.1316876643594264,5,5
P2,4,HOME,0.13334678595118743,0.1316876643594264,5,5
P2,5,HOME,0.12085391985127439,0.12085391985127439,5,5
P2,1,NEXT,0.1763430258351083,0.16725918991888314,4,5
P2,2,NEXT,0.1326771012460034,0.1316876643594264,5,5
P2,3,NEXT,0.23368366732426404,0.21991293113570295,3,5
P2,4,NEXT,0.13401646377840715,0.1329149407578349,5,5
P2,5,NEXT,0.3412016210294921,0.3182288996564564,3,5
P3,1,HOME,0.12085391985127439,0.12085391985127439,5,5
P3,2,HOME,0.12085391985127439,0.12085391985127439,5,5
P3,3,HOME,0.12085391985127439,0.12085391985127439,5,5
P3,4,HOME,0.12085391985127439,0.12085391985127439,5,5
P3,5,HOME,0.12085391985127439,0.12085391985127439,5,5
P3,1,NEXT,0.12085391985127439,0.12085391985127439,5,5
P3,2,NEXT,0.12085391985127439,0.12085391985127439,5,5
P3,3,NEXT,0.12085391985127439,0.12085391985127439,5,5
P3,4,NEXT,0.1843988562322993,0.16535373471920833,4,5
P3,5,NEXT,0.22551220289309196,0.1864530531121648,3,5
P4,1,HOME,0.12085391985127439,0.12085391985127439,5,5
P4,2,HOME,0.12085391985127439,0.12085391985127439,5,5
P4,3,HOME,0.16664572912339426,0.16085168248899473,5,5
P4,4,HOME,0.14171605838987483,0.13485633149925771,4,5
P4,5,HOME,0.08309876102399756,0.08294787616454896,5,5
P4,1,NEXT,0.14885874314724107,0.14885874314724107,5,5
P4,2,NEXT,0.1659984094606572,0.16402034962882606,5,5
P4,3,NEXT,0.1296884579817426,0.1296884579817426,5,5
P4,4,NEXT,0.12085391985127439,0.12085391985127439,5,5
